data_id,date,weather_condition,traffic_intensity,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
13,2006-04-25,Cloudy,Low,10.1,27.9,0.0,7.2,13.0,WNW,30.0,S,NW,6.0,7,62,29,1022.0,1017.1,0,1,17.0,27.1,No,0.0,No
14,1995-01-03,Sunny,High,12.1,30.9,0.0,6.2,12.4,NW,44.0,WNW,W,7.0,20,67,20,1017.3,1013.1,1,4,19.7,30.7,No,0.0,No
15,2015-11-21,Cloudy,Moderate,10.1,31.2,0.0,8.8,13.1,NW,41.0,S,W,6.0,20,45,16,1018.2,1013.7,0,1,18.7,30.4,No,0.0,No
16,1995-09-27,Sunny,Low,12.4,32.1,0.0,8.4,11.1,E,46.0,SE,WSW,7.0,9,70,22,1017.9,1012.8,0,3,19.1,30.7,No,0.0,No
17,1994-07-06,Sunny,Low,13.8,31.2,0.0,7.2,8.4,ESE,44.0,WSW,W,6.0,19,72,23,1014.4,1009.8,7,6,20.2,29.8,No,1.2,Yes
18,2022-09-02,Cloudy,Very High,11.7,30.0,1.2,7.2,10.1,S,52.0,SW,NE,6.0,11,59,26,1016.4,1013.0,1,5,20.1,28.6,Yes,0.6,No
19,1996-02-11,Stormy,High,12.4,32.3,0.6,7.4,13.0,E,39.0,NNE,W,4.0,17,60,25,1017.1,1013.3,1,3,20.2,31.2,No,0.0,No
20,2014-04-02,Sunny,Very High,15.6,33.4,0.0,8.0,10.4,NE,33.0,NNW,NNW,2.0,13,61,27,1018.5,1013.7,0,1,22.8,32.0,No,0.0,No
21,2000-09-01,Sunny,Low,15.3,33.4,0.0,8.8,9.5,WNW,59.0,N,NW,2.0,31,60,26,1012.4,1006.5,1,5,22.2,32.8,No,0.4,No
22,2013-04-25,Foggy,Moderate,16.4,19.4,0.4,9.2,0.0,E,26.0,ENE,E,6.0,11,88,72,1010.7,1008.9,8,8,16.5,18.3,No,25.8,Yes
23,2015-05-08,Foggy,Low,12.8,18.5,25.8,2.8,0.6,ESE,28.0,S,SE,13.0,13,91,79,1014.0,1014.9,8,8,14.0,16.8,Yes,0.4,No
24,2010-05-25,Foggy,Very High,12.0,24.3,0.4,1.2,7.5,NNE,26.0,WSW,NE,6.0,9,74,57,1020.7,1019.2,7,5,17.8,22.8,No,0.0,No
25,2017-05-27,Cloudy,Very High,15.4,28.4,0.0,4.4,8.1,ENE,33.0,SSE,NE,9.0,15,85,31,1022.4,1018.6,8,2,16.8,27.3,No,0.0,No
26,2020-12-26,Cloudy,Very High,15.6,26.9,0.0,6.8,8.9,E,41.0,E,E,6.0,22,65,48,1019.7,1016.5,2,4,19.8,25.1,No,0.2,No
27,1996-09-14,Cloudy,Very High,13.3,22.2,0.2,6.6,2.3,ENE,39.0,E,E,20.0,17,70,55,1021.0,1018.6,7,7,16.5,21.2,No,0.0,No
28,2004-06-03,Sunny,Very High,12.9,28.0,0.0,4.4,10.7,S,52.0,S,NNE,6.0,11,61,31,1019.2,1014.8,5,7,18.8,26.7,No,0.0,No
29,1998-11-25,Stormy,Very High,15.1,24.3,0.0,7.0,0.4,SE,39.0,SE,SE,7.0,17,69,80,1019.0,1017.1,7,7,18.9,19.7,No,0.4,No
30,2009-10-10,Sunny,Moderate,13.6,24.1,0.4,2.6,0.5,NNW,30.0,SSW,S,6.0,6,83,49,1017.2,1013.3,8,7,17.3,23.2,No,22.6,Yes
31,2008-09-30,Sunny,Moderate,15.1,20.4,22.6,2.4,0.2,SSE,41.0,E,S,6.0,20,82,90,1015.0,1014.1,8,8,17.0,16.3,Yes,4.2,Yes
32,2000-11-17,Rainy,Moderate,11.6,26.3,4.2,1.6,12.0,NNE,41.0,E,SW,6.0,9,66,46,1013.9,1009.5,2,2,16.7,25.2,Yes,0.2,No
33,2006-10-28,Stormy,Moderate,16.6,24.2,0.2,6.6,4.7,NW,50.0,WNW,NW,13.0,35,72,60,1007.9,1004.6,7,7,20.5,19.9,No,6.6,Yes
34,2023-12-11,Sunny,Very High,13.3,26.5,6.6,3.8,11.8,NW,50.0,NW,WNW,20.0,26,74,40,1007.3,1006.3,5,2,18.8,25.1,Yes,0.0,No
35,2000-09-10,Stormy,High,14.5,21.8,0.0,8.4,9.8,ENE,43.0,ESE,E,11.0,30,69,63,1015.0,1015.3,7,1,18.6,20.5,No,0.0,No
36,1999-04-11,Rainy,Very High,16.3,26.8,0.0,6.0,6.3,ENE,39.0,ESE,ESE,13.0,9,78,54,1018.8,1016.1,8,7,18.6,24.5,No,0.0,No
37,2024-03-25,Rainy,Low,17.2,25.8,0.0,4.2,8.8,SW,41.0,NW,N,6.0,6,70,74,1014.5,1011.5,6,7,21.5,22.6,No,4.0,Yes
38,2001-11-15,Stormy,Moderate,16.5,28.2,4.0,4.2,8.8,NE,39.0,E,N,7.0,13,76,42,1014.8,1011.4,8,1,18.0,26.3,Yes,0.0,No
39,1999-02-06,Sunny,High,15.0,29.4,0.0,6.6,11.1,NW,43.0,N,W,9.0,24,78,24,1010.8,1008.5,7,7,20.6,28.6,No,0.0,No
40,2023-07-14,Sunny,High,14.9,24.8,0.0,10.4,10.0,NNW,35.0,NNE,WNW,11.0,6,58,37,1011.7,1010.4,7,7,19.3,22.9,No,0.6,No
41,2003-11-04,Stormy,Low,11.8,18.5,0.6,4.8,2.3,ENE,35.0,ESE,E,9.0,15,60,63,1018.0,1017.4,8,6,13.8,16.4,No,0.0,No
42,1994-11-13,Foggy,Low,11.7,21.5,0.0,4.2,7.3,ENE,41.0,ESE,E,15.0,24,66,51,1021.1,1019.6,7,5,15.7,19.4,No,0.0,No
43,1995-04-15,Foggy,Low,9.6,20.3,0.0,5.0,3.6,SE,39.0,ESE,E,22.0,20,70,49,1021.9,1019.3,7,7,15.8,19.2,No,0.0,No
44,2022-07-06,Stormy,Low,8.9,27.1,0.0,4.4,12.7,E,35.0,NNW,N,6.0,11,63,37,1018.1,1012.5,1,2,15.8,25.0,No,0.0,No
45,1999-12-07,Sunny,Low,10.1,29.9,0.0,6.8,8.8,E,41.0,SE,WNW,2.0,13,63,36,1012.6,1010.2,1,8,17.4,29.1,No,5.4,Yes
46,2007-08-25,Foggy,Low,15.5,21.1,5.4,6.4,0.9,S,31.0,SSE,NE,6.0,7,93,86,1010.1,1008.6,8,8,16.6,20.0,Yes,1.4,Yes
47,2011-10-22,Foggy,High,10.8,21.7,1.4,2.8,10.6,ESE,48.0,SSE,ESE,13.0,20,59,40,1017.6,1016.8,1,4,15.3,20.8,Yes,0.0,No
48,2005-07-21,Stormy,Low,7.5,20.9,0.0,6.6,8.7,ENE,39.0,SE,E,13.0,20,61,43,1020.6,1018.3,6,7,15.3,19.8,No,0.0,No
49,1995-05-11,Foggy,Very High,12.8,21.0,0.0,6.4,0.8,NE,22.0,NE,ENE,7.0,6,72,54,1018.0,1015.6,8,8,16.1,20.0,No,3.4,Yes
50,2022-12-14,Foggy,Low,12.6,23.1,3.4,1.6,2.3,NNW,30.0,N,NW,4.0,13,97,74,1015.8,1014.1,8,7,15.3,20.4,Yes,6.4,Yes
51,2020-09-07,Foggy,Low,14.8,29.5,6.4,1.8,8.1,N,41.0,NW,NW,6.0,22,81,48,1012.9,1008.3,2,7,21.0,28.2,Yes,11.0,Yes
52,2010-08-16,Rainy,Very High,19.9,22.0,11.0,4.4,5.9,NNW,76.0,N,WNW,41.0,30,92,62,996.5,996.8,8,3,20.6,19.6,Yes,17.4,Yes
53,2020-03-09,Cloudy,Moderate,9.2,20.4,17.4,7.8,10.2,ENE,39.0,N,N,9.0,20,59,49,1009.5,1009.1,1,7,14.9,18.8,Yes,0.0,No
54,2012-11-12,Stormy,Low,12.4,24.4,0.0,6.2,12.1,NW,44.0,NNW,WNW,7.0,13,69,43,1012.8,1009.7,6,4,15.0,22.5,No,3.4,Yes
55,2015-06-20,Stormy,Very High,11.3,21.7,3.4,8.2,5.6,E,41.0,SE,NE,11.0,11,67,52,1020.4,1019.1,8,3,12.4,21.0,Yes,0.0,No
56,2015-09-10,Rainy,Moderate,9.8,26.3,0.0,5.2,13.0,NNW,41.0,W,NNW,6.0,19,63,35,1023.2,1018.0,1,1,15.3,23.9,No,0.0,No
57,2018-10-09,Stormy,High,14.3,26.7,0.0,7.2,7.1,NNW,65.0,N,NNW,7.0,48,68,64,1017.3,1014.3,7,7,19.8,19.0,No,14.4,Yes
58,2004-11-03,Sunny,Low,15.1,28.3,14.4,8.8,13.2,NNW,28.0,NNW,NW,6.0,13,73,44,1016.8,1013.4,1,5,18.3,27.4,Yes,0.0,No
59,1996-06-24,Foggy,Moderate,14.4,31.6,0.0,6.6,13.6,NNW,30.0,NW,N,6.0,7,65,30,1017.1,1014.2,0,2,21.5,30.3,No,0.0,No
60,1997-09-03,Rainy,Very High,15.4,35.0,0.0,9.6,13.0,E,39.0,SSW,ESE,6.0,22,55,18,1017.4,1015.0,1,1,23.4,34.3,No,0.0,No
61,2021-09-20,Sunny,Low,13.8,33.5,0.0,11.4,13.6,NE,31.0,SSE,NE,7.0,9,44,20,1019.2,1015.6,0,1,21.9,32.2,No,0.0,No
62,1998-02-27,Rainy,Low,13.6,34.2,0.0,8.8,12.8,NNE,35.0,ESE,W,2.0,11,50,20,1015.8,1011.6,7,6,21.9,31.8,No,0.0,No
63,2000-12-23,Foggy,Very High,14.3,35.0,0.0,7.6,10.5,ESE,41.0,ESE,WSW,2.0,9,43,14,1012.6,1008.7,0,1,23.0,33.6,No,0.0,No
64,2015-11-06,Foggy,Very High,15.9,23.4,0.0,12.6,2.2,ESE,50.0,ESE,ESE,20.0,24,69,55,1016.8,1016.3,8,7,19.2,22.3,No,0.0,No
65,2001-02-14,Rainy,High,16.7,25.3,0.0,6.2,12.5,ESE,46.0,ESE,ESE,24.0,26,56,45,1016.2,1013.0,6,7,20.3,23.9,No,0.0,No
66,2015-06-24,Sunny,Very High,12.1,27.5,0.0,7.4,11.7,NE,35.0,SSE,E,7.0,15,69,40,1011.8,1007.4,7,2,18.6,26.8,No,0.0,No
67,2016-01-27,Stormy,Low,14.3,34.1,0.0,6.6,10.5,ENE,39.0,W,NNW,6.0,19,77,34,1006.6,1003.3,1,1,18.9,31.9,No,0.0,No
68,2013-07-31,Sunny,Moderate,16.5,33.9,0.0,9.0,12.6,ENE,39.0,E,NW,11.0,11,60,36,1012.3,1009.5,1,1,20.8,31.3,No,0.0,No
69,1995-01-26,Rainy,Low,16.5,30.3,0.0,10.0,8.1,E,46.0,E,N,7.0,9,77,44,1015.7,1013.4,7,1,18.1,28.0,No,0.0,No
70,2019-06-17,Cloudy,Very High,17.5,29.9,0.0,6.6,8.8,E,43.0,E,ENE,13.0,11,74,45,1018.5,1015.9,8,1,19.3,27.9,No,0.0,No
71,2004-06-07,Sunny,Moderate,14.7,34.2,0.0,6.6,12.8,NE,33.0,WNW,NW,6.0,11,64,25,1017.8,1013.3,1,1,21.3,32.2,No,0.0,No
72,2016-01-14,Rainy,Very High,17.5,35.8,0.0,9.4,13.3,SSE,57.0,NNW,NW,6.0,19,56,24,1011.8,1006.5,0,1,24.7,34.5,No,0.0,No
73,1997-06-05,Foggy,Moderate,20.9,35.7,0.0,13.8,6.9,SW,50.0,E,WNW,4.0,17,61,28,1007.6,1003.0,7,2,23.6,34.0,No,2.0,Yes
74,1998-05-16,Foggy,High,17.0,33.8,2.0,9.0,13.5,WNW,52.0,NNW,W,6.0,24,65,35,1004.0,1001.8,2,3,23.0,31.8,Yes,0.0,No
75,1995-04-03,Stormy,Moderate,16.0,22.8,0.0,12.4,6.0,E,50.0,E,ENE,13.0,19,70,57,1012.3,1012.3,8,6,17.0,21.6,No,0.0,No
76,2017-03-09,Cloudy,Low,15.4,33.8,0.0,5.2,11.1,W,35.0,E,NW,7.0,15,70,26,1014.2,1009.0,7,1,18.0,31.7,No,0.0,No
77,1998-10-19,Stormy,High,17.9,33.2,0.0,10.4,8.4,N,59.0,N,NNE,15.0,20,58,62,1008.5,1006.1,6,7,24.5,23.5,No,4.8,Yes
78,2000-01-17,Sunny,Low,15.2,25.1,4.8,6.4,11.6,E,46.0,ESE,ESE,20.0,28,62,42,1016.8,1015.0,1,1,17.1,23.9,Yes,0.0,No
79,2010-01-30,Sunny,Low,15.1,20.4,0.0,9.6,0.1,ESE,39.0,ESE,ESE,17.0,19,63,55,1017.5,1015.8,8,8,17.8,19.4,No,18.8,Yes
80,2005-05-08,Foggy,Very High,15.3,19.6,18.8,5.0,0.0,NE,33.0,SSE,NNE,9.0,13,92,88,1008.7,1006.0,8,8,18.0,18.6,Yes,12.2,Yes
81,2022-12-26,Stormy,Low,17.2,24.7,12.2,1.4,8.1,NW,50.0,NW,WNW,19.0,28,80,71,1004.9,1004.0,7,8,19.4,21.9,Yes,0.8,No
82,2007-08-12,Foggy,Very High,15.9,19.9,0.8,5.6,1.6,E,48.0,SSE,ESE,17.0,22,73,58,1011.4,1012.1,8,7,17.4,18.6,No,0.0,No
83,1995-07-15,Stormy,Low,10.0,22.5,0.0,4.4,11.6,E,33.0,SE,S,11.0,7,55,46,1018.7,1016.8,1,2,14.7,22.2,No,0.0,No
84,2019-07-22,Stormy,Low,9.9,24.4,0.0,5.8,10.8,NE,28.0,SE,E,7.0,7,60,38,1021.6,1019.2,1,4,16.2,22.7,No,0.0,No
85,2022-08-15,Rainy,Low,10.3,27.8,0.0,6.4,9.9,ENE,35.0,SE,NE,6.0,11,64,29,1021.3,1018.1,3,6,17.0,26.3,No,0.0,No
86,2009-05-16,Sunny,High,15.4,25.7,0.0,6.8,8.2,E,41.0,E,NE,9.0,17,67,32,1020.1,1016.9,7,7,17.6,24.6,No,0.0,No
87,2001-02-26,Foggy,Low,12.7,28.8,0.0,7.4,9.0,NNE,28.0,NW,SSW,4.0,7,70,28,1016.5,1012.4,1,5,18.3,28.3,No,0.0,No
88,2016-12-16,Stormy,Very High,13.2,31.3,0.0,6.6,11.6,WSW,46.0,N,WNW,4.0,26,71,28,1013.1,1009.5,1,4,19.7,30.7,No,0.0,No
89,1997-02-27,Foggy,Low,15.3,33.2,0.0,9.4,13.2,NNW,44.0,NNE,NW,4.0,24,60,18,1013.9,1012.0,0,1,22.4,32.1,No,0.0,No
90,2014-02-25,Sunny,Very High,17.9,33.9,0.0,10.4,11.8,ENE,46.0,S,W,6.0,11,72,22,1017.4,1014.6,1,1,19.8,32.3,No,0.0,No
91,2002-09-30,Sunny,Very High,18.0,34.9,0.0,9.2,9.9,NW,69.0,N,W,6.0,13,68,29,1018.0,1013.7,1,6,22.2,33.1,No,5.2,Yes
92,2004-10-21,Rainy,Very High,17.6,27.8,5.2,10.2,3.6,ESE,39.0,N,NNW,13.0,13,66,49,1014.6,1012.8,7,8,21.4,26.3,Yes,2.2,Yes
93,2002-08-03,Stormy,Very High,16.0,23.8,2.2,5.4,6.2,SSE,30.0,SE,ESE,11.0,11,73,49,1018.9,1017.1,8,7,16.5,22.9,Yes,0.0,No
94,2010-01-13,Stormy,High,14.9,28.8,0.0,5.8,8.1,NNE,30.0,SSE,NNE,7.0,11,71,44,1018.2,1014.5,7,2,19.1,27.0,No,0.0,No
95,1996-03-10,Cloudy,Moderate,17.1,29.6,0.0,5.8,9.2,E,48.0,SE,ESE,9.0,17,67,38,1016.7,1012.8,6,7,21.7,29.1,No,1.8,Yes
96,2006-10-08,Foggy,High,18.2,22.6,1.8,8.0,0.0,ENE,33.0,SSE,ENE,7.0,13,92,76,1014.4,1011.5,8,8,18.5,22.1,Yes,9.0,Yes
97,2003-02-13,Cloudy,High,16.8,22.8,9.0,2.8,0.3,ESE,30.0,S,SSE,7.0,11,88,71,1010.0,1007.8,8,8,18.4,21.5,Yes,1.0,No
98,2007-01-09,Foggy,High,13.6,27.4,1.0,2.8,8.0,W,52.0,NW,WNW,6.0,24,77,41,1002.1,997.5,4,7,18.7,26.5,No,0.0,No
99,2006-04-18,Sunny,High,14.5,24.2,0.0,6.8,5.9,SSW,61.0,N,NNW,11.0,20,76,76,999.4,998.9,7,7,17.9,20.3,No,16.2,Yes
100,2020-08-30,Stormy,Moderate,12.4,19.9,16.2,5.4,5.6,ENE,41.0,ESE,ESE,7.0,20,75,58,1007.6,1005.0,7,7,13.6,18.7,Yes,0.0,No
101,2005-03-04,Foggy,Low,10.4,20.9,0.0,4.0,8.9,SSE,33.0,S,S,15.0,17,65,51,1007.7,1006.8,6,6,13.8,18.7,No,0.0,No
102,2007-12-09,Cloudy,Moderate,9.1,23.1,0.0,5.8,9.6,ENE,41.0,SSE,W,17.0,13,66,37,1013.6,1011.4,1,7,14.0,21.4,No,0.0,No
103,2018-04-02,Rainy,Moderate,8.9,26.0,0.0,5.0,10.7,NE,31.0,SE,NE,7.0,13,74,34,1016.1,1011.7,1,5,14.6,24.2,No,4.4,Yes
104,2005-08-16,Cloudy,High,14.5,24.2,4.4,6.6,5.9,W,48.0,NNW,WNW,9.0,17,95,60,1010.8,1006.8,8,5,15.8,22.6,Yes,11.0,Yes
105,2010-03-18,Stormy,Very High,12.6,18.2,11.0,3.2,0.4,ENE,30.0,SSE,SSE,13.0,15,81,73,1010.0,1011.0,7,8,16.3,16.8,Yes,0.2,No
106,2022-09-12,Sunny,Low,8.6,24.2,0.2,2.8,12.7,E,33.0,S,SE,11.0,9,63,37,1017.5,1015.1,1,1,13.7,22.0,No,0.0,No
107,2017-09-09,Sunny,Very High,10.8,25.2,0.0,5.6,12.6,ENE,35.0,SE,E,7.0,7,69,32,1020.2,1016.7,1,1,15.0,24.3,No,0.0,No
108,2015-07-31,Rainy,High,11.2,26.1,0.0,7.2,12.6,ENE,39.0,SE,E,7.0,19,71,40,1022.9,1020.0,1,1,15.3,24.7,No,0.0,No
109,2020-02-22,Cloudy,Very High,12.1,24.1,0.0,7.4,10.2,ENE,46.0,ESE,NNE,9.0,13,64,46,1025.2,1021.4,7,1,15.4,22.5,No,0.0,No
110,2022-12-10,Sunny,Low,10.8,25.8,0.0,6.8,11.7,E,31.0,S,NNE,7.0,11,72,42,1021.3,1017.4,5,4,17.2,24.1,No,0.0,No
111,2017-08-27,Sunny,Moderate,11.4,27.1,0.0,5.6,12.1,NE,33.0,ESE,SE,6.0,15,69,38,1017.6,1012.8,1,2,16.9,26.1,No,0.0,No
112,2022-05-10,Sunny,Moderate,12.0,28.9,0.0,7.2,8.2,ESE,39.0,SSE,WNW,2.0,9,78,31,1012.2,1009.1,2,7,17.4,28.6,No,1.8,Yes
113,2005-12-07,Sunny,Very High,16.3,24.8,1.8,7.8,3.8,S,50.0,NNW,N,4.0,7,88,56,1011.8,1008.4,7,7,17.5,24.0,Yes,6.6,Yes
114,2006-04-08,Foggy,High,12.7,28.6,6.6,3.2,8.6,W,50.0,,W,,28,78,42,1008.3,1002.3,5,5,16.5,27.4,Yes,0.0,No
115,2003-06-17,Stormy,Moderate,12.7,25.1,0.0,7.8,12.4,NW,46.0,WNW,WNW,20.0,26,57,32,1007.4,1005.4,1,1,15.7,24.5,No,0.0,No
116,2004-03-01,Rainy,Low,12.0,23.8,0.0,10.4,12.4,NW,44.0,NW,WNW,15.0,30,54,34,1007.9,1007.2,0,1,15.1,22.9,No,0.0,No
117,2010-01-02,Cloudy,Low,11.5,25.9,0.0,5.2,10.2,ENE,44.0,ENE,WSW,9.0,7,70,35,1016.4,1014.3,6,2,15.8,24.3,No,0.0,No
118,2017-04-23,Cloudy,Low,13.0,28.2,0.0,5.0,11.6,NW,44.0,WSW,NW,4.0,17,74,27,1017.6,1014.4,3,6,17.4,27.0,No,0.0,No
119,2020-02-21,Sunny,Moderate,11.7,27.6,0.0,7.8,8.1,W,48.0,,W,,30,74,25,1013.6,1009.1,2,6,17.6,26.8,No,0.0,No
120,1998-09-26,Rainy,Moderate,14.8,17.3,0.0,7.6,0.8,SSE,48.0,S,SE,13.0,13,74,78,1010.0,1009.9,7,7,15.7,15.3,No,10.4,Yes
121,2020-02-25,Foggy,High,7.7,18.4,10.4,5.2,12.0,S,48.0,S,S,24.0,17,58,34,1015.5,1014.5,5,1,10.6,16.8,Yes,0.0,No
122,2006-02-05,Rainy,High,4.4,21.8,0.0,6.2,12.1,S,35.0,SSE,SSE,15.0,15,60,31,1020.8,1019.3,1,1,11.7,20.0,No,0.0,No
123,1998-12-07,Stormy,Very High,7.4,24.4,0.0,6.2,11.6,E,35.0,ESE,WNW,7.0,11,65,37,1026.3,1023.2,0,2,12.2,22.1,No,0.0,No
124,2007-09-30,Rainy,Low,8.3,27.3,0.0,5.6,10.1,E,35.0,ESE,WNW,6.0,9,78,28,1025.4,1020.4,1,1,13.8,25.5,No,0.0,No
125,2016-12-27,Stormy,High,10.1,28.2,0.0,6.0,7.3,ESE,39.0,SSE,WNW,6.0,7,72,28,1021.1,1018.2,1,7,15.6,27.0,No,0.0,No
126,2019-03-25,Foggy,Moderate,12.0,27.6,0.0,6.0,11.0,E,46.0,SSE,WSW,7.0,6,69,35,1025.5,1022.2,1,1,15.7,26.2,No,0.0,No
127,2017-06-23,Stormy,Very High,12.9,31.8,0.0,6.0,11.3,WSW,41.0,NNW,NNE,6.0,9,76,24,1023.9,1019.3,2,3,17.4,30.0,No,0.0,No
128,2022-06-30,Cloudy,Very High,10.8,29.2,0.0,8.4,7.5,E,50.0,,ENE,,9,56,34,1021.6,1017.7,0,7,17.5,27.7,No,3.0,Yes
129,1998-08-06,Sunny,Low,9.5,27.4,3.0,4.8,11.5,NNW,24.0,SSE,NNW,6.0,9,79,39,1024.7,1020.7,1,7,14.0,24.9,Yes,0.0,No
130,2013-06-25,Cloudy,Very High,12.1,27.8,0.0,5.0,11.5,E,41.0,SE,NNE,7.0,11,66,33,1024.8,1023.1,0,1,17.8,27.0,No,0.0,No
131,2023-01-18,Foggy,Low,12.5,31.7,0.0,6.6,11.2,WNW,24.0,ENE,W,6.0,9,74,28,1024.9,1020.4,1,1,17.2,30.1,No,0.0,No
132,2001-05-01,Foggy,Moderate,13.9,34.7,0.0,6.4,8.5,SSW,46.0,SE,ENE,11.0,7,50,18,1022.8,1019.3,0,3,20.2,32.7,No,0.2,No
133,2013-10-12,Rainy,Low,13.3,31.7,0.2,7.8,11.0,WNW,44.0,ESE,WSW,6.0,28,80,23,1021.6,1017.6,2,5,17.5,30.7,No,0.0,No
134,2020-12-22,Foggy,Very High,13.2,33.1,0.0,8.6,9.7,ENE,39.0,SE,NNW,7.0,7,91,18,1020.9,1017.7,7,1,16.1,31.7,No,0.0,No
135,2017-05-07,Sunny,High,12.3,33.8,0.0,7.2,11.3,W,22.0,SE,W,9.0,13,57,15,1022.6,1019.1,0,1,17.9,32.7,No,0.0,No
136,2023-03-15,Cloudy,Very High,13.8,35.2,0.0,6.4,11.2,SE,48.0,SE,ESE,7.0,4,47,15,1022.5,1019.3,5,2,21.4,34.1,No,0.0,No
137,2004-02-05,Cloudy,Low,11.3,32.3,0.0,9.4,11.4,NE,28.0,ENE,WNW,4.0,6,44,17,1024.3,1020.7,5,2,18.2,30.5,No,0.0,No
138,1998-10-07,Sunny,Moderate,11.7,30.2,0.0,7.8,11.2,NE,33.0,ESE,NNW,9.0,13,73,22,1024.3,1020.6,1,0,17.7,28.8,No,0.0,No
139,2018-06-02,Rainy,Very High,12.5,29.9,0.0,5.8,10.7,NW,43.0,,WNW,0.0,19,76,30,1022.7,1018.8,0,1,16.8,29.2,No,0.0,No
140,2009-04-13,Foggy,Low,15.1,26.2,0.0,9.0,9.8,NE,31.0,SE,NNE,4.0,15,59,48,1022.1,1018.7,1,4,19.7,24.5,No,0.0,No
141,2001-07-27,Stormy,Moderate,11.5,29.3,0.0,5.2,8.0,NW,46.0,,WSW,0.0,26,76,35,1013.8,1009.4,7,7,17.1,27.6,No,0.0,No
142,2015-08-30,Sunny,Low,13.0,14.8,0.0,8.2,0.0,SE,30.0,ESE,ESE,9.0,17,77,62,1017.4,1019.3,7,8,13.3,13.9,No,0.0,No
143,2006-05-17,Stormy,High,11.6,19.6,0.0,2.8,1.6,E,33.0,SE,ESE,6.0,17,71,64,1023.6,1021.8,7,8,14.0,17.9,No,0.0,No
144,2008-09-01,Rainy,Moderate,12.8,24.9,0.0,2.4,6.2,ENE,30.0,NNW,SW,6.0,7,76,44,1023.2,1019.3,7,6,15.5,24.2,No,0.6,No
145,2014-03-09,Cloudy,Moderate,15.5,22.4,0.6,4.8,1.9,NW,28.0,SSE,WNW,6.0,19,89,68,1018.7,1015.4,8,7,17.1,21.1,No,6.4,Yes
146,2015-02-18,Cloudy,Low,13.1,17.4,6.4,2.8,0.0,NNW,43.0,N,N,11.0,20,94,93,1010.2,1006.5,8,8,16.4,16.6,Yes,19.8,Yes
147,2014-10-16,Sunny,Low,12.6,20.2,19.8,2.6,9.1,W,46.0,NNW,W,17.0,20,76,50,1007.9,1008.4,5,4,15.1,17.4,Yes,0.0,No
148,2021-10-04,Cloudy,Moderate,4.4,18.3,0.0,4.6,9.6,N,33.0,SE,N,7.0,17,80,36,1014.8,1012.6,1,2,8.4,17.4,No,0.0,No
