order_id,order_date,expected_delivery_date,actual_delivery_date,delivery_status,delivery_cost
78,2023-01-26,2023-09-12,2023-04-11,Delivered,61.55
79,2024-01-10,2024-04-29,2024-04-25,Cancelled,13.59
80,2022-09-04,2022-11-06,2022-09-07,Delivered,14.6
81,2022-08-17,2023-07-07,2022-12-06,In Transit,71.11
82,2023-04-18,2024-02-28,2023-07-17,Pending,54.01
83,2023-08-19,2024-01-19,2023-10-15,Pending,87.43
84,2023-03-03,2024-04-10,2023-09-10,Cancelled,74.91
85,2023-03-31,2023-11-13,,In Transit,60.16
86,2023-11-23,2024-01-27,2023-12-16,Pending,14.84
87,2022-08-12,2023-09-05,2022-10-26,Cancelled,43.17
88,2024-02-15,2024-04-30,,Delivered,53.78
89,2023-05-14,2023-06-07,2023-05-25,Delivered,51.15
90,2023-09-05,2024-03-07,2023-09-12,Delivered,18.02
91,2022-11-09,2024-04-05,2023-09-21,In Transit,87.32
92,2023-11-07,2024-04-16,2024-01-01,Delivered,34.64
93,2023-01-12,2023-07-21,2023-02-20,In Transit,45.18
94,2023-12-26,2024-01-21,2024-01-09,In Transit,53.72
95,2023-03-04,2023-05-17,2023-03-08,In Transit,94.76
96,2023-03-11,2023-05-30,2023-03-12,In Transit,41.96
97,2022-12-27,2024-03-11,2023-01-04,In Transit,16.38
98,2023-09-20,2024-02-25,2023-10-24,In Transit,10.74
99,2024-02-22,2024-03-22,2024-03-13,In Transit,90.42
100,2022-11-21,2023-06-25,2023-01-22,Pending,40.13
